nombreEscuela,seccionEscuela
ESC. DE COMERCIO 4 - B. FERNANDEZ MORENO,5°2°
ESC. DE COMERCIO 5 - JOSE DE SAN MARTIN,5°2°
ESC. DE COMERCIO 6 - AMERICA,5°2°
ESC. DE COMERCIO 7 - MANUEL BELGRANO,5°2°
ESC. DE COMERCIO 7 - MANUEL BELGRANO,5°2°
ESC. DE COMERCIO 8 - PATRICIAS ARGENTINAS,5°2°
ESC. DE COMERCIO 9 - JOSE INGENIEROS,5°2°
ESC. DE COMERCIO 9 - JOSE INGENIEROS,5°2°
ESC. DE COMERCIO 11 - DR. J. PERALTA,5°2°
ESC. DE COMERCIO 11 - DR. J. PERALTA,5°2°
ESC. DE COMERCIO 12 - JUAN XXIII,5°2°
ESC. DE COMERCIO 12 - JUAN XXIII,5°2°
ESC. DE COMERCIO 15 - DRA.CECILIA GRIERS,5°2°
ESC. DE COMERCIO 15 - DRA.CECILIA GRIERS,5°2°
ESC. DE COMERCIO 16 - GABRIELA MISTRAL,5°2°
ESC. DE COMERCIO 16 - GABRIELA MISTRAL,5°2°
ESC. DE COMERCIO 17 - STA.M DE LOS BS. AS.,5°2°
ESC. DE COMERCIO 17 - STA.M DE LOS BS. AS.,5°2°
ESC. DE COMERCIO 18 - REINO DE SUECIA,5°2°
ESC. DE COMERCIO 18 - REINO DE SUECIA,5°2°
ESC. DE COMERCIO 19 - JUAN MONTALVO,5°2°
ESC. DE COMERCIO 19 - JUAN MONTALVO,5°2°
ESC. DE COMERCIO 20 - DR. J.A. GARCIA,5°2°
ESC. DE COMERCIO 21 - CAP. N. H. BOUCHARD,5°2°
ESC. DE COMERCIO 21 - CAP. N. H. BOUCHARD,5°2°
ESC. DE COMERCIO 22 - G.M. ZUVIRIA,5°2°
ESC. DE COMERCIO 23 - DR. LUIS AGOTE,5°2°
ESC. DE COMERCIO 24 - DR. VELEZ SARSFIELD,5°2°
ESC. DE COMERCIO 25 - SGO. DE LINIERS,5°2°
ESC. DE COMERCIO 27 - ANTARTIDA ARGENTINA,5°2°
ESC. DE COMERCIO 28 - A. LINCOLN,5°2°
ESC. DE COMERCIO 30 - DR. E. GASCON,5°2°
ESC. DE COMERCIO 30 - DR. E. GASCON,5°2°
ESC. DE COMERCIO 31 - NACIONES UNIDAS,5°2°
ESC. DE COMERCIO 31 - NACIONES UNIDAS,5°2°
ESC. DE COMERCIO 32 - JOSE LEON SUAREZ,5°2°
ESC. DE COMERCIO 33 - MAIPU,5°2°
ESC. DE COMERCIO 33 - MAIPU,5°2°
ESC. DE COMERCIO 34 - MONSEÑOR DE ANDREA,5°2°
ESC. DE COMERCIO 34 - MONSEÑOR DE ANDREA,5°2°
ESC. DE COMERCIO 35 - L. MARECHAL,5°2°
EEM 1 - D.E. 12 - JULIO CORTAZAR,5°2°
EEM 1 - D.E. 13 - MANUEL MUJICA LAINEZ,5°2°
EEM 1 - D.E. 14 - FEDERICO GARCIA LORCA,5°2°
EEM 1 - D.E. 16 - RODOLFO WALSH,5°2°
EEM 1 - D.E. 21,5°2°
EEM 2 - D.E. 13,5°2°
EEM 2 - D.E. 14 - ARGENTINOS JUNIORS,5°2°
EEM 2 - D.E. 16 - AGUSTIN TOSCO,5°2°
EEM 2 - D.E. 17 - RUMANIA,5°2°
EEM 2 -D.E. 19 - ARTURO JAURETCHE,5°2°
EEM 2 -D.E. 19 - ARTURO JAURETCHE,5°2°
EEM 2 -D.E. 19 - ARTURO JAURETCHE,5°2°
EEM 2 - D.E. 20,5°2°
EEM 3 - D.E. 4,5°2°
EEM 3 - D.E. 4,5°2°
EEM 3 - D.E. 7 - OSVALDO PUGLIESE,5°2°
EEM 3 - D.E. 10,5°2°
EEM 3 - D.E. 17 - ANTONIO DEVOTO,5°2°
EEM 3 - D.E. 19 - PROF. CARLOS GENISO,5°2°
EEM 4 - D.E. 19 - HOMERO MANZI,5°2°
EEM 5 - D.E. 10 - HEROES DE MALVINAS,5°2°
EEM 5 - D.E. 19,5°2°
EEM 5 - D.E. 21 - JUAN MANUEL FANGIO,5°2°
EEM 6 - D.E. 5,5°2°
EEM 6 - D.E. 19,5°2°
EEM 7 - D.E. 9 - MARIA CLAUDIA FALCONE,5°2°
COLEGIO 1 - BERNARDINO RIVADAVIA,5°3°
COLEGIO 1 - BERNARDINO RIVADAVIA,5°3°
COLEGIO 2 - DOMINGO F. SARMIENTO,5°3°
