nombreEscuela,seccionEscuela
Esc. de Educación Media Nº 01 DE 21,5°3° TT
Esc. de Educación Media Nº 01 DE 21,5°A TM
Esc. de Educación Media Nº 01 DE 21,5°B TM
Esc. de Educación Media Nº 01 DE 21,5°C TM
Esc. de Educación Media Nº 01 DE 07 Julieta Lanteri,5°1° TM
Esc. de Educación Media Nº 02 DE 13,5°1° TM
Esc. de Educación Media Nº 02 DE 13,5°2° TM
Esc. de Educación Media Nº 02 DE 14 Argentinos Juniors,5°1° TM
Esc. de Educación Media Nº 02 DE 14 Argentinos Juniors,5°2° TT
Esc. de Educación Media Nº 02 DE 16 Agustín Tosco,5°1° TM
Esc. de Educación Media Nº 02 DE 16 Agustín Tosco,5°2° TM
Esc. de Educación Media Nº 02 DE 16 Agustín Tosco,5°3° TT
Esc. de Educación Media Nº 02 DE 17 Rumania,5°1° TM
Esc. de Educación Media Nº 02 DE 17 Rumania,5°2° TM
Esc. de Educación Media Nº 02 DE 17 Rumania,5°3° TT
Esc. de Educación Media Nº 02 DE 17 Rumania,5°4° TT
Esc. de Educación Media Nº 02 DE 20,5°1° TM
Esc. de Educación Media Nº 02 DE 20,5°2° TT
Esc. de Educación Media Nº 02 DE 20,5°3° TM
Esc. de Educación Media Nº 02 DE 20,5°4° TT
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°1° TM
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°1° TT
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°1° TN/V
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°2° TM
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°2° TT
Esc. de Educación Media Nº 02 DE 19 Arturo Jauretche,5°2° TN/V
Esc. de Educación Media Nº 03 DE 10,5°1° TT
Esc. de Educación Media Nº 03 DE 10,5°2° TT
Esc. de Educación Media Nº 03 DE 17 Antonio Devoto,5°1° TM
Esc. de Educación Media Nº 03 DE 17 Antonio Devoto,5°2° TM
Esc. de Educación Media Nº 03 DE 17 Antonio Devoto,5°3° TT
Esc. de Educación Media Nº 03 DE 17 Antonio Devoto,5°4° TT
Esc. de Educación Media Nº 03 DE 19 Prof. Carlos Geniso,5°1° TM
Esc. de Educación Media Nº 03 DE 19 Prof. Carlos Geniso,5°2° TT
Esc. de Educación Media Nº 03 DE 19 Prof. Carlos Geniso,5°3° TM
Esc. de Educación Media Nº 03 DE 19 Prof. Carlos Geniso,5°4° TT
Esc. de Educación Media Nº 03 DE 19 Prof. Carlos Geniso,5°7° TNTV
Esc. de Educación Media Nº 03 DE 04,5°1° TM
Esc. de Educación Media Nº 03 DE 04,5°1° TT
Esc. de Educación Media Nº 03 DE 04,5°2° TM
Esc. de Educación Media Nº 03 DE 04,5°2° TT
